# A

abfahren	出発する
abfliegen	飛行機で出発する
abgeben	提出する
abholen	迎えに行く
abonnieren	定期購読する
abreisen	旅に出る
absagen	取りやめる	Wir können den Termin doch [absagen].
absprechen	取り決める	Das haben wir doch so [abgesprochen].
abstürzen	落ちる
amüsieren sich	楽しむ
anfangen	始める
angehen	関係する
anhören sich	のように聞こえる
ankommen	〜次第である
annehmen	を受ける
anrufen	電話をかける
anschauen	じっくり見る; 観察する
ansehen sich	傍観する
anstehen	列に並ぶ
anstrengen sich	努力する
anziehen	を着る
arbeiten	働く
ärgern sich	腹をたてる
auffallen	目を引く
aufgeben	あきらめる
aufhalten	引き止める
aufhören	やめる
aufpassen	気をつける
aufregen	苛立たせる
ausfallen	急に止まる
ausfüllen	記入する	Muss ich das auch [ausfüllen]? - Nein, Das ist gut so.
auskennen sich	詳しく知っている
ausrichten	伝える	Viele Grüße an Herr Winter. - Ja, [richte] ich [aus].
ausruhen sich	休む
aussehen	〜のように見える	Es [sieht] so [aus].
aussprechen	〜を述べる	Ich möchte Ihnen von ganzem Herzen mein Mitgefühl [aufsprechen].

# B

bauen	建設する;組み立てる
beantworten	回答する
bedeuten	〜を意味する
bedienen sich	自分で取る
beeilen sich	急ぐ
beginnen	始める
behalten	持っておく
bekannt machen	紹介する
bekommen	手に入れる
beneiden	〜を羨む	Ihr seid echt zu [beneiden].
benutzen	〜を使う
besorgen	〜を調達する
besprechen	〜を話し合う
bestellen	〜を注文する
besuchen	〜を訪ねる
bezahlen	〜の代金を支払う
bitten	頼む
bleiben	とどまる; 〜のままでいる
brauchen	〜を必要とする
bremsen	ブレーキをかける
buchen	〜を予約する

# D

dabeihaben	携帯する
danken	感謝する
dauern	時間がかかる
dazwischenkommen	問題などが起こる
denken	考える
drängeln	急がせる
durchgehen	通り抜ける
durchlesen	読み通す

# E

eilen	急ぐ
einfallen	〜の頭に浮かぶ
einladen	招待する; おごる
einsehen	〜をわかる
entfernen sich	遠ざかる
entscheiden	〜を決める
entschließen sich	決心する
entschuldigen	許す
einstellen	しまう
ergern	怒らせる
erholen sich	ゆっくり休む
erinnern	覚えている
erklären	説明する
erlauben	〜に...を許す
erwarten	〜を予期する
erwerben	手に入れる;勝ち取る	Mit 18 kann man in Deutschland den Führerscein [erwerben].
erzählen	〜を話す
essen	(〜を)食べる

# F

fahren	〜に行く; 運行する
fallen	落ちる
fehlen	〜の具合が悪い; 〜が足りない
feiern	パーティーをする
feststehen	〜が確定している
finden	〜と思う	 〜を見つける
fliegen	飛行機で行く
folgen	〜を追う
fotografieren	写真を撮る
fragen	尋ねる
freinehmen	休みを取る
freuen sich	喜ばせる	 喜ぶ	 楽しみにする
fühlen sich	〜と感じる
führen	〜をつける; 導く
funktionieren	機能する
fürchten	〜を懸念する

# G

geben	〜に...を渡す
gebrauchen	〜を使う
gefallen	〜の気にいる
